Date/Time,Word Count,en,es
2023.05.03-01.17.33,8593,8593,0
2023.05.03-01.47.30,8593,8593,4
2023.05.19-17.19.08,14344,14344,164
2023.05.19-17.48.40,14344,14344,1606
2023.05.19-19.02.14,14344,14344,9672
2024.07.19-17.57.20,14096,14096,5246
2024.07.20-00.12.46,14096,14096,13992
2025.07.09-20.42.50,6215,6215,4535
2025.07.26-18.09.52,6780,6780,4550
2025.07.27-06.32.47,6784,6784,4552
2025.08.27-18.18.12,6876,6876,5207
2025.08.29-19.12.40,6876,6876,5281
2025.09.16-11.10.01,7380,7380,5260
2025.10.02-16.23.12,7853,7853,5268
2025.10.06-09.36.12,8030,8030,5365
2025.10.22-12.40.31,8001,8001,6328
2025.10.22-12.50.59,8001,8001,6398
2025.10.24-10.40.54,8002,8002,6405
2025.10.28-13.11.18,8002,8002,6408
2025.10.29-13.16.39,8006,8006,6416
2025.12.09-11.07.11,8072,8072,6420
2025.12.22-13.09.20,8058,8058,6454
2025.12.23-13.46.18,8060,8060,6470
2025.12.23-21.49.34,8062,8062,6472
